Fragebogen,Geschlecht,Alter,Erfolg,Finanzen,Eitelkeit,Bildung,Intelligenz,Erfolg__1,Finanzen__1,Eitelkeit__1,Bildung__1,Intelligenz__1,Erfolg__2,Finanzen__2,Eitelkeit__2,Bildung__2,Intelligenz__2,Erfolg__3,Finanzen__3,Eitelkeit__3,Bildung__3,Intelligenz__3,Erfolg__4,Finanzen__4,Eitelkeit__4,Bildung__4,Intelligenz__4,Erfolg__5,Finanzen__5,Eitelkeit__5,Bildung__5,Intelligenz__5,Erfolg__6,Finanzen__6,Eitelkeit__6,Bildung__6,Intelligenz__6,Erfolg__7,Finanzen__7,Eitelkeit__7,Bildung__7,Intelligenz__7,Kleidung,Mimik,Situation
1,Weiblich,22,4,4,3,3,4,4,5,4,3,4,3,4,4,4,3,4,4,3,3,4,4,3,4,3,4,3,4,4,4,3,5,4,5,5,4,4,4,5,3,3,4,2,1
1,Männlich,25,4,5,3,4,5,5,4,5,3,4,3,5,5,5,4,4,5,3,4,5,5,4,5,3,4,3,5,5,5,4,5,4,5,4,5,4,5,4,4,3,5,3,1
1,Weiblich,23,5,5,4,5,4,5,5,4,4,5,4,4,5,4,5,5,5,4,5,4,5,5,4,4,5,4,4,5,4,5,4,4,4,3,4,5,5,3,5,4,5,3,2
1,Weiblich,29,4,4,3,4,4,4,4,4,3,4,3,4,4,4,4,4,4,3,4,4,4,4,4,3,4,3,4,4,4,4,3,4,4,4,3,4,4,4,4,3,4,2,1
1,Weiblich,31,4,4,3,4,4,4,4,4,3,4,3,4,4,4,4,4,4,3,4,4,4,4,4,3,4,3,4,4,4,4,5,5,3,5,4,3,4,5,4,3,5,3,1
1,Männlich,22,5,5,3,5,5,5,5,5,3,5,3,5,5,5,5,5,5,3,5,5,5,5,5,3,5,3,5,5,5,5,4,5,5,4,5,4,3,4,5,3,5,3,1
1,Weiblich,25,3,4,4,4,5,4,4,5,4,3,4,5,4,5,4,3,4,4,4,5,4,4,5,4,3,4,5,4,5,4,4,4,4,5,5,5,4,5,4,4,4,2,1
1,Weiblich,25,4,5,5,4,3,5,4,3,5,4,5,3,5,3,4,4,5,5,4,3,5,4,3,5,4,5,3,5,3,4,4,4,5,5,4,5,5,5,4,5,5,3,2
1,Weiblich,22,3,3,4,3,4,3,3,4,4,3,4,4,3,4,3,3,3,4,3,4,3,3,4,4,3,4,4,3,4,3,3,3,3,4,3,4,5,4,3,4,5,3,2
1,Männlich,21,3,2,5,4,5,2,4,5,5,3,5,5,2,5,4,3,2,5,4,5,2,4,5,5,3,5,5,2,5,4,4,5,4,5,4,3,4,5,4,5,4,3,2
1,Weiblich,28,4,4,3,4,5,4,4,5,3,4,3,5,4,5,4,4,4,3,4,5,4,4,5,3,4,3,5,4,5,4,5,4,5,4,4,4,3,4,4,3,3,2,1
1,Männlich,29,5,4,5,5,5,4,5,5,5,5,5,5,4,5,5,5,4,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,4,3,3,4,4,3,5,5,5,2,1
1,Männlich,27,5,5,4,5,5,5,5,5,4,5,4,5,5,5,5,5,5,4,5,5,5,5,5,4,5,4,5,5,5,5,4,4,3,4,4,5,5,4,5,4,4,2,2
1,Männlich,24,4,5,4,4,4,5,4,4,4,4,4,4,5,4,4,4,5,4,4,4,5,4,4,4,4,4,4,5,4,4,5,3,4,5,5,5,4,5,4,4,5,3,2
2,Weiblich,23,2,1,1,2,3,2,1,3,2,1,1,2,3,1,2,2,1,1,2,3,2,1,3,2,1,1,2,3,1,2,1,2,2,2,2,3,3,2,3,2,5,3,2
2,Weiblich,20,3,2,2,3,4,3,2,4,3,2,2,3,4,2,3,3,2,2,3,4,3,2,4,3,2,2,3,4,2,3,2,1,1,3,3,1,2,1,4,3,3,2,1
2,Männlich,21,4,2,1,2,4,2,1,4,4,1,2,4,2,1,2,4,2,1,2,4,2,1,4,4,1,2,4,2,1,2,1,1,2,1,3,2,1,1,4,4,5,3,1
2,Weiblich,24,2,2,1,2,3,2,1,3,2,3,2,2,3,1,2,2,2,1,2,3,2,1,3,4,3,2,2,3,1,2,2,2,2,2,1,3,2,3,3,2,4,1,1
2,Männlich,25,3,2,2,3,4,3,2,4,3,2,2,3,4,2,3,3,2,2,3,4,3,2,4,3,2,2,3,4,2,3,3,2,2,4,2,3,2,2,2,3,4,1,2
2,Männlich,29,1,1,2,2,3,2,2,3,1,1,1,1,3,2,2,1,1,2,2,3,2,2,3,1,1,1,1,3,2,2,2,1,1,3,2,2,3,1,2,1,4,3,2
2,Weiblich,22,2,1,2,3,1,3,2,1,2,2,1,2,1,2,3,2,1,2,3,1,3,2,1,2,2,1,2,1,2,3,1,3,3,2,3,1,2,2,1,2,5,2,2
2,Weiblich,24,1,1,3,3,2,3,3,2,1,1,2,1,2,3,3,1,1,3,3,2,3,3,2,1,1,2,1,2,3,3,2,2,1,1,2,1,1,4,3,1,5,1,1
2,Männlich,28,2,1,2,4,3,4,2,3,2,1,1,2,3,2,4,2,1,2,4,3,4,2,3,2,1,1,2,3,2,4,1,1,2,3,1,3,1,2,2,2,4,2,1
2,Männlich,27,2,3,1,3,1,3,1,1,2,3,3,2,1,1,3,2,3,1,3,1,3,1,1,2,3,3,2,4,1,3,1,2,3,3,3,2,2,1,3,2,5,3,2
2,Weiblich,25,3,1,2,2,2,2,2,2,3,1,1,3,2,2,2,3,1,2,2,2,2,2,2,3,1,1,3,2,2,2,1,2,1,2,2,2,1,3,1,3,5,2,1
2,Männlich,23,2,2,3,1,4,1,3,4,2,2,2,2,4,3,1,2,2,3,1,4,1,3,4,2,2,2,2,4,3,1,1,1,2,3,1,3,3,2,4,2,3,3,1
2,Weiblich,22,1,2,1,3,2,3,1,2,1,2,1,1,2,1,3,1,2,1,3,2,3,1,2,1,2,1,1,2,1,3,2,3,2,2,1,2,1,1,2,1,4,1,2
2,Männlich,24,3,2,3,2,1,2,3,1,3,2,2,3,1,3,2,3,2,3,2,1,2,3,1,3,2,2,3,1,3,2,1,1,3,1,3,1,2,1,4,3,5,2,1
